timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 14:02:32,57917 Kbps,221 KB,24.58 s,854x480@24
2023-11-30 14:02:33,57917 Kbps,0 KB,23.57 s,854x480@24
2023-11-30 14:02:34,57917 Kbps,0 KB,22.06 s,854x480@24
2023-11-30 14:02:35,57917 Kbps,0 KB,21.05 s,854x480@24
2023-11-30 14:02:36,58754 Kbps,412 KB,23.09 s,854x480@24
2023-11-30 14:02:37,60590 Kbps,0 KB,42.08 s,854x480@24
2023-11-30 14:02:38,60590 Kbps,0 KB,41.07 s,854x480@24
2023-11-30 14:02:39,60590 Kbps,0 KB,40.06 s,854x480@24
2023-11-30 14:02:40,60590 Kbps,0 KB,38.54 s,854x480@24
2023-11-30 14:02:41,60590 Kbps,0 KB,37.52 s,854x480@24
2023-11-30 14:02:43,60590 Kbps,0 KB,36.51 s,854x480@24
2023-11-30 14:02:44,60590 Kbps,0 KB,35.50 s,854x480@24
2023-11-30 14:02:45,60590 Kbps,0 KB,34.49 s,854x480@24
2023-11-30 14:02:46,60590 Kbps,0 KB,33.49 s,854x480@24
2023-11-30 14:02:47,60590 Kbps,0 KB,31.97 s,854x480@24
2023-11-30 14:02:48,59087 Kbps,0 KB,46.75 s,854x480@24
2023-11-30 14:02:49,59087 Kbps,0 KB,45.73 s,854x480@24
2023-11-30 14:02:50,59087 Kbps,0 KB,44.72 s,854x480@24
2023-11-30 14:02:51,59087 Kbps,0 KB,43.71 s,854x480@24
2023-11-30 14:02:52,59087 Kbps,0 KB,42.70 s,854x480@24
2023-11-30 14:02:53,59087 Kbps,0 KB,41.18 s,854x480@24
2023-11-30 14:02:55,59087 Kbps,0 KB,40.18 s,854x480@24
2023-11-30 14:02:56,61889 Kbps,0 KB,53.37 s,854x480@24
2023-11-30 14:02:57,61889 Kbps,0 KB,52.37 s,854x480@24
2023-11-30 14:02:58,61889 Kbps,0 KB,51.35 s,854x480@24
2023-11-30 14:02:59,61889 Kbps,0 KB,49.82 s,854x480@24
2023-11-30 14:03:00,61889 Kbps,0 KB,48.82 s,854x480@24
2023-11-30 14:03:01,61889 Kbps,0 KB,47.80 s,854x480@24
2023-11-30 14:03:02,62362 Kbps,408 KB,46.79 s,854x480@24
2023-11-30 14:03:03,62362 Kbps,0 KB,71.29 s,854x480@24
2023-11-30 14:03:04,62362 Kbps,0 KB,69.77 s,854x480@24
2023-11-30 14:03:06,62362 Kbps,0 KB,68.76 s,854x480@24
2023-11-30 14:03:07,62362 Kbps,0 KB,67.74 s,854x480@24
2023-11-30 14:03:08,62362 Kbps,0 KB,66.73 s,854x480@24
2023-11-30 14:03:09,62362 Kbps,0 KB,65.72 s,854x480@24
2023-11-30 14:03:10,62362 Kbps,0 KB,64.71 s,854x480@24
2023-11-30 14:03:11,62362 Kbps,0 KB,63.19 s,854x480@24
2023-11-30 14:03:12,62362 Kbps,0 KB,62.42 s,854x480@24
2023-11-30 14:03:13,62362 Kbps,0 KB,61.41 s,854x480@24
2023-11-30 14:03:14,62362 Kbps,0 KB,60.39 s,854x480@24
2023-11-30 14:03:15,62362 Kbps,0 KB,59.39 s,854x480@24
2023-11-30 14:03:17,62362 Kbps,0 KB,58.37 s,854x480@24
2023-11-30 14:03:18,62362 Kbps,0 KB,56.86 s,854x480@24
2023-11-30 14:03:19,62362 Kbps,0 KB,55.84 s,854x480@24
2023-11-30 14:03:20,62362 Kbps,0 KB,54.84 s,854x480@24
2023-11-30 14:03:21,62362 Kbps,0 KB,53.82 s,854x480@24
2023-11-30 14:03:22,62362 Kbps,0 KB,52.82 s,854x480@24
2023-11-30 14:03:23,62362 Kbps,0 KB,51.31 s,854x480@24
2023-11-30 14:03:24,62362 Kbps,0 KB,50.29 s,854x480@24
2023-11-30 14:03:25,62362 Kbps,0 KB,49.29 s,854x480@24
2023-11-30 14:03:26,62362 Kbps,0 KB,48.29 s,854x480@24
