timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 00:56:41,50308 Kbps,1647 KB,0.00 s,3840x2160@24
2023-11-30 00:56:42,59711 Kbps,1385 KB,3.19 s,3840x2160@24
2023-11-30 00:56:43,74621 Kbps,1514 KB,4.90 s,3840x2160@24
2023-11-30 00:56:44,78414 Kbps,1788 KB,8.48 s,3840x2160@24
2023-11-30 00:56:45,78666 Kbps,2050 KB,9.51 s,3840x2160@24
2023-11-30 00:56:46,81173 Kbps,503 KB,11.42 s,3840x2160@24
2023-11-30 00:56:47,88079 Kbps,0 KB,12.92 s,3840x2160@24
2023-11-30 00:56:48,88079 Kbps,0 KB,11.91 s,3840x2160@24
2023-11-30 00:56:50,91458 Kbps,1264 KB,10.90 s,3840x2160@24
2023-11-30 00:56:51,92517 Kbps,0 KB,11.97 s,3840x2160@24
2023-11-30 00:56:52,93489 Kbps,1175 KB,10.95 s,3840x2160@24
2023-11-30 00:56:53,94265 Kbps,307 KB,12.45 s,3840x2160@24
2023-11-30 00:56:54,93799 Kbps,425 KB,11.45 s,3840x2160@24
2023-11-30 00:56:55,93760 Kbps,38 KB,13.40 s,3840x2160@24
2023-11-30 00:56:56,93760 Kbps,0 KB,11.89 s,3840x2160@24
2023-11-30 00:56:57,92882 Kbps,1515 KB,10.89 s,3840x2160@24
2023-11-30 00:56:58,92253 Kbps,0 KB,12.34 s,3840x2160@24
2023-11-30 00:56:59,92096 Kbps,1288 KB,11.33 s,3840x2160@24
2023-11-30 00:57:01,92096 Kbps,0 KB,12.90 s,3840x2160@24
2023-11-30 00:57:02,92096 Kbps,0 KB,11.90 s,3840x2160@24
2023-11-30 00:57:03,86435 Kbps,856 KB,12.38 s,3840x2160@24
2023-11-30 00:57:04,85319 Kbps,1038 KB,13.96 s,3840x2160@24
2023-11-30 00:57:05,85319 Kbps,0 KB,12.95 s,3840x2160@24
2023-11-30 00:57:06,85319 Kbps,0 KB,11.95 s,3840x2160@24
2023-11-30 00:57:07,85011 Kbps,1132 KB,10.94 s,3840x2160@24
2023-11-30 00:57:08,85897 Kbps,0 KB,13.30 s,3840x2160@24
2023-11-30 00:57:09,85897 Kbps,0 KB,11.80 s,3840x2160@24
2023-11-30 00:57:10,87653 Kbps,832 KB,13.37 s,3840x2160@24
2023-11-30 00:57:11,87653 Kbps,0 KB,12.36 s,3840x2160@24
2023-11-30 00:57:13,87653 Kbps,0 KB,11.36 s,3840x2160@24
2023-11-30 00:57:14,89770 Kbps,1980 KB,10.35 s,3840x2160@24
2023-11-30 00:57:15,89408 Kbps,0 KB,11.84 s,3840x2160@24
2023-11-30 00:57:16,90799 Kbps,1025 KB,12.76 s,3840x2160@24
2023-11-30 00:57:17,90799 Kbps,0 KB,12.46 s,3840x2160@24
2023-11-30 00:57:18,90799 Kbps,0 KB,11.46 s,3840x2160@24
2023-11-30 00:57:19,95509 Kbps,1027 KB,10.45 s,3840x2160@24
2023-11-30 00:57:20,94489 Kbps,0 KB,12.27 s,3840x2160@24
2023-11-30 00:57:21,94489 Kbps,0 KB,10.76 s,3840x2160@24
2023-11-30 00:57:22,94100 Kbps,609 KB,12.71 s,3840x2160@24
2023-11-30 00:57:24,94363 Kbps,1080 KB,11.70 s,3840x2160@24
2023-11-30 00:57:25,97272 Kbps,0 KB,12.91 s,3840x2160@24
2023-11-30 00:57:26,97272 Kbps,0 KB,11.90 s,3840x2160@24
2023-11-30 00:57:27,97272 Kbps,0 KB,10.89 s,3840x2160@24
2023-11-30 00:57:28,95995 Kbps,0 KB,12.22 s,3840x2160@24
2023-11-30 00:57:29,97583 Kbps,1110 KB,11.20 s,3840x2160@24
2023-11-30 00:57:30,96980 Kbps,0 KB,12.15 s,3840x2160@24
2023-11-30 00:57:31,96980 Kbps,0 KB,11.68 s,3840x2160@24
2023-11-30 00:57:32,97350 Kbps,996 KB,10.68 s,3840x2160@24
2023-11-30 00:57:33,95403 Kbps,0 KB,12.09 s,3840x2160@24
2023-11-30 00:57:35,93455 Kbps,1932 KB,11.07 s,3840x2160@24
2023-11-30 00:57:36,93741 Kbps,0 KB,12.78 s,3840x2160@24
2023-11-30 00:57:37,93741 Kbps,0 KB,11.77 s,3840x2160@24
2023-11-30 00:57:38,93800 Kbps,1699 KB,10.77 s,3840x2160@24
2023-11-30 00:57:39,93290 Kbps,0 KB,12.13 s,3840x2160@24
2023-11-30 00:57:40,92705 Kbps,1964 KB,10.62 s,3840x2160@24
2023-11-30 00:57:41,92705 Kbps,0 KB,12.37 s,3840x2160@24
2023-11-30 00:57:42,92705 Kbps,0 KB,11.36 s,3840x2160@24
2023-11-30 00:57:43,94434 Kbps,1123 KB,12.65 s,3840x2160@24
2023-11-30 00:57:44,96241 Kbps,1483 KB,14.18 s,3840x2160@24
2023-11-30 00:57:45,96241 Kbps,0 KB,12.68 s,3840x2160@24
2023-11-30 00:57:47,96241 Kbps,0 KB,11.66 s,3840x2160@24
2023-11-30 00:57:48,96403 Kbps,1016 KB,14.62 s,3840x2160@24
2023-11-30 00:57:49,96403 Kbps,0 KB,13.61 s,3840x2160@24
